2D Materials;2D Mater.
RENAL FAILURE;Ren. Fail.
Renal Society of Australasia Journal;Ren. Soc. Australas. J.
RENASCENCE-ESSAYS ON VALUES IN LITERATURE;Renascence-Essays Values Lit.
Rendiconti del Circolo Matematico di Palermo;Rend. Circ. Mat. Palermo
RENDICONTI DEL SEMINARIO MATEMATICO DELLA UNIVERSITA DI PADOVA;Rend. Semin. Mat. Univ. Padova
Rendiconti Lincei-Matematica e Applicazioni;Rend. Lincei-Mat. Appl.
RENDICONTI LINCEI-SCIENZE FISICHE E NATURALI;Rend. Lincei.-Sci. Fis. Nat.
Rendiconti Online Societa Geologica Italiana;Rend. Online Soc. Geol. Ital.
RENEWABLE & SUSTAINABLE ENERGY REVIEWS;Renew. Sust. Energ. Rev.
RENEWABLE AGRICULTURE AND FOOD SYSTEMS;Renew. Agr. Food Syst.
RENEWABLE ENERGY;Renew. Energy
Reports of Biochemistry and Molecular Biology;Rep. Biochem. Mol. Biol.
Reports of Forestry Research-Zpravy Lesnickeho Vyzkumu;Rep. For. Res.
Reports of Practical Oncology and Radiotherapy;Rep. Pract. Oncol. Radiother.
Reports on Geodesy and Geoinformatics;Rep. Geod. Geoinformatics
Reports on Mathematical Logic;Rep. Math. Log.
REPORTS ON MATHEMATICAL PHYSICS;Rep. Math. Phys.
REPORTS ON PROGRESS IN PHYSICS;Rep. Prog. Phys.
Representation Theory;Represent. Theory
REPRESENTATIONS;Representations
REPRODUCTION;Reproduction
REPRODUCTION FERTILITY AND DEVELOPMENT;Reprod. Fertil. Dev.
REPRODUCTION IN DOMESTIC ANIMALS;Reprod. Domest. Anim.
Reproductive and Developmental Medicine;Reprod. Dev. Med.
Reproductive Biology;Reprod. Biol.
Reproductive Biology and Endocrinology;Reprod. Biol. Endocrinol.
REPRODUCTIVE BIOMEDICINE ONLINE;Reprod. Biomed. Online
Reproductive Health;Reprod. Health
Reproductive Medicine and Biology;Reprod. Med. Biol.
Reproductive Sciences;Reprod. Sci.
REPRODUCTIVE TOXICOLOGY;Reprod. Toxicol.
REQUIREMENTS ENGINEERING;Requir. Eng.
ReS Futurae-Revue d Etudes sur la Science-Fiction;ReS Futurae
Res Mobilis-International Research Journal of Furniture and Decorative Objects;Res Mobilis
Res Philosophica;Res Philos.
Res Publica-A Journal of Moral Legal and Political Philosophy;Res Publica
Res Publica-Revista de Filosofia Politica;Res Publica-Rev. Filos. Polit.
Res Rhetorica;Res Rhetor.
Research;Research
Research & Politics;Res. Politics
RESEARCH AND PRACTICE FOR PERSONS WITH SEVERE DISABILITIES;Res. Pract. Pers. Sev. Disabil.
Research and Practice in Intellectual and Developmental Disabilities;Res. Pract. Intellect. Dev. Disabil.
Research and Practice in Thrombosis and Haemostasis;Res. Pract. Thromb. Haemost.
Research and Reports in Neonatology;Res. Rep. Neonatol.
Research and Reports in Tropical Medicine;Res. Rep. Trop. Med.
Research and Reports in Urology;RES. REP. UROL.
Research and Reviews in Parkinsonism;Res. Rev. Parkinsonism
Research and Theory for Nursing Practice;Res. Theory Nurs. Pract.
RESEARCH EVALUATION;Res. Evaluat.
RESEARCH IN AFRICAN LITERATURES;Res. Afr. Lit.
Research in Astronomy and Astrophysics;Res. Astron. Astrophys.
Research in Autism Spectrum Disorders;Res. Autism Spectr. Disord.
Research in Comparative and International Education;Res. Comp. Int. Educ.
Research in Dance Education;Res. Danc. Educ.
RESEARCH IN DEVELOPMENTAL DISABILITIES;Res. Dev. Disabil.
Research in Economics;Res. Econ.
Research in Education;Res. Educ.
Research in Education and Learning Innovation Archives-REALIA;Res. Educ. Learn. Innov. Arch.-REALIA
Research in Educational Administration & Leadership;Res. Educ. Admin. Lead.
RESEARCH IN ENGINEERING DESIGN;Res. Eng. Design
Research in Gerontological Nursing;Res. Gerontol. Nurs.
RESEARCH IN HIGHER EDUCATION;Res. High. Educ.
Research in Human Development;Res. Hum. Dev.
Research in International Business and Finance;Res. Int. Bus. Financ.
Research in Learning Technology;Res. Learn. Technol.
Research in Marine Sciences;Res. Mar. Sci.
Research in Mathematics Education;Res. Math. Educ.
RESEARCH IN MICROBIOLOGY;Res. Microbiol.
RESEARCH IN NONDESTRUCTIVE EVALUATION;Res. Nondestruct. Eval.
Research in Number Theory;Res. Number Theory
RESEARCH IN NURSING & HEALTH;Res. Nurs. Health
Research in Pharmaceutical Sciences;Res. Pharm. Sci.
RESEARCH IN PHENOMENOLOGY;Res. Phenomenol.
Research in Post-Compulsory Education;Res. Post-Compuls. Educ.
Research in Psychotherapy-Psychopathology Process and Outcome;RES. PSYCHOTHER.-PSYCHOPATHOL. PROCESS OUTCOME
Research in Science & Technological Education;Res. Sci. Technol. Educ.
RESEARCH IN SCIENCE EDUCATION;Res. Sci. Educ.
Research in Social & Administrative Pharmacy;Res. Soc. Adm. Pharm.
Research in Social Stratification and Mobility;Res. Soc. Stratif. Mobil.
Research in Sports Medicine;Res. Sports Med.
Research in the Mathematical Sciences;Res. Math. Sci.
RESEARCH IN THE TEACHING OF ENGLISH;Res. Teach. Engl.
Research in Transportation Business and Management;Res. Transp. Bus. Manag.
Research in Transportation Economics;Res. Transp. Econ.
RESEARCH IN VETERINARY SCIENCE;Res. Vet. Sci.
Research Integrity and Peer Review;Res. Integr. Peer Rev.
Research Journal of Biotechnology;Res. J. Biotechnol.
Research Journal of Pharmacognosy;Res. J. Pharmacogn.
Research Journal of Textile and Apparel;Res. J. Text. Appar.
RESEARCH ON AGING;Res. Aging
RESEARCH ON CHEMICAL INTERMEDIATES;Res. Chem. Intermed.
RESEARCH ON LANGUAGE AND SOCIAL INTERACTION;Res. Lang. Soc. Interact.
RESEARCH ON SOCIAL WORK PRACTICE;Res. Soc. Work. Pract.
Research Papers in Education;Res. Pap. Educ.
RESEARCH POLICY;Res. Policy
RESEARCH QUARTERLY FOR EXERCISE AND SPORT;Res. Q. Exerc. Sport
Research Reports in Clinical Cardiology;Res. Rep. Clin. Cardiol.
Research Studies in Music Education;Res. Stud. Music Educ.
Research Synthesis Methods;Res. Synth. Methods
RESEARCH-TECHNOLOGY MANAGEMENT;Res.-Technol. Manage.
Residential Treatment for Children & Youth;Resid. Treat. Child. Youth
Resilience-International Policies Practices and Discourses;Resilience
Resonance-Journal of Science Education;Resonance
Resonancias;Resonancias
RESOURCE AND ENERGY ECONOMICS;Resour. Energy Econ.
RESOURCE GEOLOGY;Resour. Geol
RESOURCES CONSERVATION AND RECYCLING;Resour. Conserv. Recycl.
RESOURCES FOR AMERICAN LITERARY STUDY;Resour. Am. Lit. Study
RESOURCES POLICY;Resour. Policy
Resources-Basel;Resources-Basel
RESPIRATION;Respiration
Respiratory Care;Respir. Care
Respiratory Investigation;Respir. Investig.
RESPIRATORY MEDICINE;Respir. Med.
Respiratory Medicine and Research;Respir. Med. Res.
Respiratory Medicine Case Reports;Respir. Med. Case Rep.
RESPIRATORY PHYSIOLOGY & NEUROBIOLOGY;Respir. Physiol. Neuro.
RESPIRATORY RESEARCH;Respir. Res.
RESPIROLOGY;Respirology
Respirology Case Reports;Respirol. Case Rep.
RESTAURATOR-INTERNATIONAL JOURNAL FOR THE PRESERVATION OF LIBRARY AND ARCHIVAL MATERIAL;Restaur.-Int. J. Preserv. Libr. Arch. Mater.
RESTORATION ECOLOGY;Restor. Ecol.
RESTORATIVE NEUROLOGY AND NEUROSCIENCE;Restor. Neurol. Neurosci.
Results in Mathematics;Results Math.
Results in Physics;Results Phys.
RESUSCITATION;Resuscitation
Retail and Marketing Review;Retail Mark. Rev.
RETHINKING HISTORY;Rethink. Hist.
Rethinking Marxism-A Journal of Economics Culture & Society;Rethink. Marxism
Reti Medievali Rivista;Reti Mediev. Riv.
Reti Saperi Linguaggi-Italian Journal of Cognitive Sciences;Reti Saperi Linguaggi
RETINA-THE JOURNAL OF RETINAL AND VITREOUS DISEASES;Retin.-J. Retin. Vitr. Dis.
Retos-Nuevas Tendencias en Educacion Fisica Deporte y Recreacion;Retos
Retos-Revista de Ciencias de la Administracion y Economia;Retos
Retrovirology;Retrovirology
Reumatismo;Reumatismo
Reumatologia Clinica;Reumatol. Clin.
REUNIR-Revista de Administracao Contabilidade e Sustentabilidade;REUNIR-Rev. Adm. Contab. Sustentabilidade
Rev Rene;Rev Rene
REVELETEO-Revista Electronica Espaco Teologico;REVELETEO-Rev. Electron. Espaco Teol.
REVELL-Revista de Estudos Literarios da UEMS;REVELL-Rev. Estud. Lit. UEMS
REVER-Revista de Estudos da Religiao;REVER
REVESCO-Revista de Estudios Cooperativos;REVESCO-Rev. Estud. Coop.
Review & Expositor;Rev. Expo.
Review Journal of Autism and Developmental Disorders;Rev. J. Autism Dev. Disord.
Review of Accounting and Finance;Rev. Account. Financ.
REVIEW OF ACCOUNTING STUDIES;Rev. Account. Stud.
Review of African Political Economy;Rev. Afr. Polit. Econ.
Review of Agrarian Studies;Rev. Agrar. Stud.
Review of Asset Pricing Studies;Rev. Asset Pricing Stud.
Review of Austrian Economics;Rev. Austrian Econ.
Review of Behavioral Economics;Rev. Behav. Econ.
Review of Behavioral Finance;Rev. Behav. Finance
Review of Business;Rev. Bus.
Review of Central and East European Law;Rev. Cent. East Eur. Law
Review of Cognitive Linguistics;Rev. Cogn. Linguist.
Review of Communication Research;Rev. Commun. Res.
Review of Corporate Finance Studies;Rev. Corp. Financ. Stud.
Review of Derivatives Research;Rev. Deriv. Res.
Review of Development Economics;Rev. Dev. Econ.
Review of Economic Analysis;Rev. Econ. Anal.
Review of Economic Design;Rev. Econ. Des.
REVIEW OF ECONOMIC DYNAMICS;Rev. Econ. Dyn.
Review of Economic Perspectives;Rev. Econ. Perspect.
REVIEW OF ECONOMIC STUDIES;Rev. Econ. Stud.
REVIEW OF ECONOMICS AND STATISTICS;Rev. Econ. Stat.
Review of Economics of the Household;Rev. Econ. Househ.
Review of Education;Rev. Educ.
Review of Education Pedagogy and Cultural Studies;Rev. Educ. Pedagog. Cult. Stud.
REVIEW OF EDUCATIONAL RESEARCH;Rev. Educ. Res.
REVIEW OF ENGLISH STUDIES;Rev. Engl. Stud.
Review of Environmental Economics and Policy;Rev. Env. Econ. Policy
Review of European Comparative & International Environmental Law;Rev. Eur. Comp. Int. Environ.
Review of Faith & International Affairs;Rev. Faith Int. Aff.
Review of Finance;Rev. Financ.
Review of Financial Economics;Rev. Financ. Econ.
REVIEW OF FINANCIAL STUDIES;Rev. Financ. Stud.
REVIEW OF GENERAL PSYCHOLOGY;Rev. Gen. Psychol.
REVIEW OF HIGHER EDUCATION;Rev. High. Educ.
REVIEW OF INCOME AND WEALTH;Rev. Income Wealth
REVIEW OF INDUSTRIAL ORGANIZATION;Rev. Ind. Organ.
Review of International Business and Strategy;Rev. Int. Bus. Strategy
Review of International Economics;Rev. Int. Econ.
Review of International Organizations;Rev. Int. Organ.
REVIEW OF INTERNATIONAL POLITICAL ECONOMY;Rev. Int. Polit. Econ.
REVIEW OF INTERNATIONAL STUDIES;Rev. Int. Stud.
Review of Keynesian Economics;Rev. Keynes. Econ.
Review of Korean Studies;Rev. Korean Stud.
Review of Law & Economics;Rev. Law Econ.
Review of Managerial Science;Rev. Manag. Sci.
REVIEW OF METAPHYSICS;Rev. Metaphys.
Review of Middle East Studies;Rev. Middle East Stud.
Review of Network Economics;Rev. Netw. Econ.
Review of Pacific Basin Financial Markets and Policies;Rev. Pac. Basin Financ. Mark. Policies
REVIEW OF PALAEOBOTANY AND PALYNOLOGY;Rev. Palaeobot. Palynology
Review of Philosophy and Psychology;Rev. Philos. Psychol.
Review of Policy Research;Rev. Policy Res.
REVIEW OF POLITICAL ECONOMY;Rev. Polit. Econ.
Review of Public Personnel Administration;Rev. Public Pers. Adm.
Review of Quantitative Finance and Accounting;Rev. Quant. Financ. Account.
Review of Rabbinic Judaism;Rev. Rabbin. Jud.
REVIEW OF RADICAL POLITICAL ECONOMICS;Rev. Radical Polit. Econ.
Review of Regional Research-Jahrbuch fur Regionalwissenschaft;Rev. Reg. Res.
Review of Regional Studies;Rev. Reg. Stud.
REVIEW OF RELIGIOUS RESEARCH;Rev. Relig. Res.
Review of Research in Education;Rev. Res. Educ.
REVIEW OF SCIENTIFIC INSTRUMENTS;Rev. Sci. Instrum.
REVIEW OF SOCIAL ECONOMY;Rev. Soc. Econ.
Review of Socionetwork Strategies;Rev. Socionetwork Strateg.
Review of Symbolic Logic;Rev. Symb. Log.
REVIEW OF WORLD ECONOMICS;Rev. World Econ.
REVIEW-LITERATURE AND ARTS OF THE AMERICAS;Review
REVIEWS IN AMERICAN HISTORY;Rev. Am. Hist.
REVIEWS IN ANALYTICAL CHEMISTRY;Rev. Anal. Chem.
Reviews in Anthropology;Rev. Anthr.
Reviews in Aquaculture;Rev. Aquac.
Reviews in Cardiovascular Medicine;Rev. Cardiovasc. Med.
REVIEWS IN CHEMICAL ENGINEERING;Rev. Chem. Eng.
Reviews in Computational Chemistry;Rev. Comput. Chem.
REVIEWS IN ENDOCRINE & METABOLIC DISORDERS;Rev. Endocr. Metab. Disord.
REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY;Rev. Environ. Sci. Bio-Technol.
REVIEWS IN FISH BIOLOGY AND FISHERIES;Rev. Fish. Biol. Fish.
Reviews in Fisheries Science & Aquaculture;Rev. Fish. Sci. Aquac..
REVIEWS IN INORGANIC CHEMISTRY;Rev. Inorg. Chem.
REVIEWS IN MATHEMATICAL PHYSICS;Rev. Math. Phys.
REVIEWS IN MEDICAL MICROBIOLOGY;Rev. Med. Microbiol.
REVIEWS IN MEDICAL VIROLOGY;Rev. Med. Virol.
Reviews in Mineralogy & Geochemistry;Rev. Mineral. Geochem.
REVIEWS IN THE NEUROSCIENCES;Rev. Neurosci.
Reviews of Adhesion and Adhesives;Rev. Adhes. Adhes.
Reviews of Environmental Contamination and Toxicology;Rev. Environ. Contam. Toxicol.
REVIEWS OF GEOPHYSICS;Rev. Geophys.
REVIEWS OF MODERN PHYSICS;Rev. Mod. Phys.
Reviews of Physiology Biochemistry and Pharmacology;Rev. Physiol. Biochem. Pharmacol.
REVIEWS ON ADVANCED MATERIALS SCIENCE;Rev. Adv. Mater. Sci.
REVIEWS ON ENVIRONMENTAL HEALTH;Rev. Environ. Health
Reviews on Recent Clinical Trials;Rev. Recent Clin. Trials
Revija za Kriminalistiko in Kriminologijo;Rev. Kriminalistiko Kriminol.
Revija za Socijalnu Politiku;Rev. Soc. Polit.
Revista 180;Rev. 180
Revista Academica da Faculdade de Direito do Recife;Rev. Acad. Fac. Dir. Rec.
Revista Acta Geografica;Rev. Acta Geogr.
Revista Administracao em Dialogo;Rev. Adm. Dialogo
Revista Agrogeoambiental;Rev. Agrogeoambiental
Revista Ambiente Contabil;Rev. Ambient. Contab.
Revista Andina de Estudios Politicos;Rev. Andina Estud. Politicos
Revista Argentina de Ciencias del Comportamiento;Rev. Argent. Cienc. Comport.
Revista Argentina de Historiografia Linguistica;Rev. Argent. Historiogr. Linguist.
REVISTA ARGENTINA DE MICROBIOLOGIA;Rev. Argent. Microbiol.
Revista Artemis;Rev. Artemis
REVISTA ARVORE;Rev. Arv.
Revista Bio Ciencias;Rev. Bio Cienc.
Revista Boliviana de Derecho;Rev. Boliv. Derecho
Revista Brasileira de Anestesiologia;Rev. Bras. Anestesiol.
REVISTA BRASILEIRA DE CIENCIA DO SOLO;Rev. Bras. Cienc. Solo
Revista Brasileira de Ciencias Agrarias-Agraria;Rev. Bras. Cienc. Agrar.
Revista Brasileira de Computacao Aplicada;Rev. Bras. Comput. Apl.
Revista Brasileira de Direito;Rev. Bras. Direito
Revista Brasileira de Direito Processual Penal;Rev. Bras. Direito Processual Penal
Revista Brasileira de Educacao do Campo-Brazilian Journal of Rural Education;Rev. Bras. Educ. Campo-Braz. J. Rural Educ.
Revista Brasileira de Enfermagem;Rev. Bras. Enferm.
Revista Brasileira de Engenharia Agricola e Ambiental;Rev. Bras. Eng. Agric. Ambient.
REVISTA BRASILEIRA DE ENTOMOLOGIA;Rev. Bras. Entomol.
Revista Brasileira de Estudos Politicos;Rev. Bras. Estud. Polit.
Revista Brasileira de Farmacognosia-Brazilian Journal of Pharmacognosy;Rev. Bras. Farmacogn.-Braz. J. Pharmacogn.
Revista Brasileira de Fruticultura;Rev. Bras. Frutic.
Revista Brasileira de Futsal e Futebol;Rev. Bras. Futsal Futeb.
Revista Brasileira de Geomorfologia;Rev. Bras. Geomorfol.
Revista Brasileira de Ginecologia e Obstetricia;Rev. Bras. Ginecol. Obstet.
Revista Brasileira de Historia;Rev. Bras. Hist.
Revista Brasileira de Historia & Ciencias Sociais;Rev. Bras. Hist. Cienc. Soc.
Revista Brasileira de Inovacao;Rev. Bras. Inov.
Revista Brasileira de Marketing;Rev. Brasil. Mark.
Revista Brasileira de Medicina do Esporte;Rev. Bras. Med. Esporte
Revista Brasileira de Ornitologia;Rev. Bras. Ornitol.
REVISTA BRASILEIRA DE PALEONTOLOGIA;Rev. Bras. Paleontol.
REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA;Rev. Bras. Parasitol. Vet.
Revista Brasileira de Politica Internacional;Rev. Bras. Polit. Int.
REVISTA BRASILEIRA DE PSIQUIATRIA;Rev. Bras. Psiquiatr.
REVISTA BRASILEIRA DE ZOOTECNIA-BRAZILIAN JOURNAL OF ANIMAL SCIENCE;Rev. Bras. Zootecn.
Revista Caatinga;Rev. Caatinga
Revista Catalana de Dret Public;Rev. Catalana Dret Public
Revista CES Derecho;Rev. CES Derecho
Revista CES Psicologia;Rev. CES Psicol.
Revista Chapingo Serie Ciencias Forestales y del Ambiente;Rev. Chapingo Ser. Cienc. For. Am.
Revista Chilena de Derecho;Rev. Chil. Derecho
Revista Chilena de Derecho y Tecnologia;Rev. Chil. Derecho Tecnol.
Revista Chilena de Estudios Medievales;Rev. Chil. Estud. Mediev.
REVISTA CHILENA DE HISTORIA NATURAL;Rev. Chil. Hist. Nat.
Revista Chilena de Infectologia;Rev. Chil. Infectol.
REVISTA CHILENA DE LITERATURA;Rev. Chil. Lit.
Revista Chilena de Neuropsicologia;Rev. Chil. Neuropsicol.
Revista Chilena de Nutricion;Rev. Chil. Nutr.
Revista Chilena de Pediatria-Chile;Rev. Chil. Pediatr.-Chile
Revista CIDOB d Afers Internationals;Rev. CIDOB Afers Int.
Revista Ciencia Agronomica;Rev. Cienc. Agron.
Revista Ciencias Administrativas;Rev. Cienc. Adm.
Revista Ciencias Pedagogicas e Innovacion;Rev. Cienc. Pedagoc. Innov.
Revista Ciencias Sociales y Educacion;Rev. Cienc. Soc. Educ.
Revista Cientifica;Rev. Cient.
Revista Cientifica da Faculdade de Educacao e Meio Ambiente;Rev. Cient. Fac. Educ. Meio Ambient.
Revista Cientifica Hermes;Rev. Cient. Hermes
REVISTA CIENTIFICA-FACULTAD DE CIENCIAS VETERINARIAS;Rev. Cient.-Fac. Cienc. Vet.
Revista Clinica Contemporanea;Rev. Clin. Contemp.
REVISTA CLINICA ESPANOLA;Rev. Clin. Esp.
Revista Colombiana de Bioetica;Rev. Colomb. Bioet.
Revista Colombiana de Cancerologia;Rev. Colomb. Cancerol.
Revista Colombiana de Ciencias Pecuarias;Rev. Colomb Cienc. Pecu.
Revista Colombiana de Ciencias Sociales;Rev. Colomb. Cienc. Soc.
REVISTA COLOMBIANA DE ENTOMOLOGIA;Rev. Colomb. Entomol.
Revista Colombiana de Filosofia de la Ciencia;Rev. Colomb. Filos. Cienc.
Revista Colombiana de Investigaciones Agroindustriales;Rev. Colomb. Investig. Agroindustriales
Revista Colombiana de Quimica;Rev. Colomb. Quim.
Revista Colombiana de Sociologia;Rev. Colomb. Sociol.
Revista Complutense de Educacion;Rev. Complut. Educ.
Revista Complutense de Historia de America;Rev. Complut. Hist. Am.
Revista Comunicacao Midiatica;Rev. Comun. Midiatica
Revista Comunicacion;Rev. Comun.
Revista Conrado;REV. CONRADO
Revista Contabilidade e Controladoria-RC C;Rev. Contab. Control.-RC C
Revista Contemporanea de Educacao;Rev. Contemp. Educ.
Revista Cooperativismo y Desarrollo-COODES;Rev. Coop. Desarro.-COODES
Revista Corpoica-Ciencia y Tecnologia Agropecuaria;Rev. Corpoica-Cienc. Tecnol. Agropecu.
Revista Costarricense de Psicologia;Rev. Costarric. Psicol.
Revista Criminalidad;Rev. Crim.
Revista Critica Cultural;Rev. Crit. Cult.
Revista Critica de Ciencias Sociais;Rev. Crit. Cienc. Soc.
Revista CS en Ciencias Sociales;Rev. CS Cienc. Soc.
Revista Cubana de Ciencias Forestales;Rev. Cub. Cienc. For.
Revista Cubana de Fisica;Rev. Cub. Fis.
Revista Cubana de Ingenieria;Rev. Cuba Ing.
Revista Cubana de Reumatologia;Rev. Cuba. Reumatol.
Revista Cuidarte;Rev. Cuid.
Revista da Anpoll;Rev. Anpoll
Revista da Associacao Medica Brasileira;Rev. Assoc. Med. Bras.
Revista da Escola de Enfermagem da USP;Rev. Esc. Enferm. USP
Revista da Sociedade Brasileira de Medicina Tropical;Rev. Soc. Bras. Med. Trop.
Revista de Administracao Publica;Rev. Adm. Publica
Revista de Agricultura Neotropical;REV. AGRIC. NEOTROP.
Revista de Antropologia Social;Rev. Antropol. Soc.
Revista de Arqueologia Historica Argentina y Latinoamericana;Rev. Arqueol. Hist. Argent. Latinoam.
Revista de Arquitectura;Rev. Arquit.
Revista de Artes Marciales Asiaticas;Rev. Artes Marciales
REVISTA DE BIOLOGIA MARINA Y OCEANOGRAFIA;Rev. Biol. Mar. Oceanogr.
REVISTA DE BIOLOGIA TROPICAL;Rev. Biol. Trop.
Revista de Cancioneros Impresos y Manuscritos;Rev. Cancion. Impr. Manuscr.
Revista de Cercetare si Interventie Sociala;Rev. Cercet. Interv. Soc.
Revista de Ciencia Politica;Rev. Cienc. Polit.
Revista de Ciencias Agricolas;Rev. Cienc. Agric.
Revista de Ciencias Humanas da Universidade de Taubate;REV. CIENC. HUM. UNIV. TAUBATE
Revista de Ciencias Sociales-Costa Rica;Rev. Cienc. Soc.-Costa Rica
Revista de Climatologia;Rev. Climatol.
Revista de Comunicacion de la SEECI;Rev. Comun. SEECI
Revista de Comunicacion-Peru;Rev. Comun.-Peru
Revista de Contabilidad-Spanish Accounting Review;Rev. Contab.
Revista de Cultura Teologica;Rev. Cult. Teol.
Revista de Derecho Civil;Rev. Derecho Civ.
Revista de Derecho Comunitario Europeo;Rev. Derecho Comunitario Europeo
Revista de Derecho Politico;Rev. Derecho Polit.
Revista de Derecho Privado;Rev. Derecho Priv.
Revista de Direito da Cidade-City Law;Rev. Direito Cid.
Revista de Direito Sanitario-Journal of Health Law;Rev. Direito Sanit.
Revista de Economia Mundial;Rev. Econ. Mund.
Revista de Educacion;Rev. Educ.
Revista de Educacion Inclusiva;Rev. Educ. Incl.
Revista de Educacion y Derecho-Educational and Law Review;Rev. Educ. Derecho
Revista de Ensino de Bioquimica;Rev. Ensino Bioquim.
Revista de Epidemiologia e Controle de Infeccao;Rev. Epidemiol. Control. Infecc.
Revista de Estudios Andaluces;Rev. Estud. Andal.
Revista de Estudios Empresariales-Segunda Epoca;Rev. Estud. Empresariales-Segunda Epoca
Revista de Estudios en Seguridad Internacional-RESI;Rev. Estud. Segur. Int.
REVISTA DE ESTUDIOS HISPANICOS;Rev. Estud. Hisp.
Revista de Estudios Internacionales Mediterraneos;Rev. Estud. Int. Mediterr.
Revista de Estudios Latinos;Rev. Estud. Latinos
Revista de Estudios Politicos;Rev. Estud. Polit.
Revista de Estudios Politicos y Estrategicos;Rev. Estud. Politicos Estrateg.
Revista de Estudios Regionales;Rev. Estud. Reg.
Revista de Estudios Sociales;Rev. Estud. Soc.
Revista de Estudos Constitucionais Hermeneutica e Teoria do Direito-RECHTD;Rev. Estud. Const. Hermeneutica Teor. Direito-RECHTD
Revista de Estudos da Linguagem;Rev. Estud. Ling.
Revista de Etnografie si Folclor-Journal of Ethnography and Folklore;Rev. Etnogr. Folc.
Revista de Filologia Alemana;Rev. Filol. Alem.
Revista de Filologia de la Universidad de la Laguna;Rev. Filol. Univ. Laguna
REVISTA DE FILOLOGIA ESPANOLA;Rev. Filol. Esp.
Revista de Filosofia;Rev. Filos.
Revista de Filosofia Aurora;Rev. Filos. Aurora
Revista de Filosofia UIS;Rev. Filos. UIS
Revista de Filosofia-Madrid;Rev. Filos.-Madr.
Revista de Gastroenterologia de Mexico;Rev. Gastroenterol. Mex.
Revista de Geografia Norte Grande;Rev. Geogr. Norte Gd.
Revista de Gestao Ambiental e Sustentabilidade-GeAS;Rev. Gest. Ambient. Sustentabilidade-GeAS
Revista de Gestao e Projetos;Rev. Gest. Proj.
Revista de Gestao e Secretariado-GeSeC;Rec. Gest. Secr.-GeSeC
Revista de Gestao em Sistemas de Saude-RGSS;Rev. Gest. Sist. Saude-RGSS
Revista de Gestion Publica;Rev. Gest. Publica
Revista de Hispanismo Filosofico;Rev. Hisp. Filos.
Revista de Historia da Sociedade e da Cultura;Rev. Hist. Soc. Cult.
Revista de Historia das Ideias;Rev. Hist. Ideias
Revista de Historia de la Psicologia;Rev. Hist. Psicol.
Revista de Historia Economica;Rev. Hist. Econ.
Revista de Historia Industrial;Rev. Hist. Ind.
Revista de Historia-Sao Paulo;Rev. Hist.-Sao Paulo
Revista de Historiografia;Rev. Historiogr.
Revista de Humanidades;Rev. Humanid.
REVISTA DE INDIAS;Rev. Indias
Revista de Investigacion Clinica-Clinical and Translational Investigation;Rev. Investig. Clin.
Revista de Investigacion Educativa de la Escuela de Graduados en Educacion;Rev. Investig. Educ. Esc. Grad. Educ.
Revista de Investigacion en Logopedia;Rev. Investig. Logop.
Revista de Investigacion Linguistica;Rev. Invest. Linguist.
Revista de Investigacion sobre Flamenco-La Madruga;Rev. Investig. Flamenco-Madruga
Revista de Investigaciones Politicas y Sociologicas;Rev. Investig. Polit. Sociol.
Revista de Investigaciones Veterinarias del Peru;Rev. Investig. Vet. Peru
Revista de Investigaciones-Universidad del Quindio;Rev. Investig.
Revista de Investigacoes Constitucionais-Journal of Constitutional Research;Rev. Investig. Const.
Revista de la Construccion;Rev. Constr.
Revista de la Facultad de Agronomia de la Universidad del Zulia;Rev. Fac. Agron.
REVISTA DE LA FACULTAD DE CIENCIAS AGRARIAS;Rev.  Fac. Cienc. Agrar. Univ Nac Cuyo
Revista de la Facultad de Derecho;Rev. Fac. Derecho
Revista de la Federacion Argentina de Cardiologia;Rev. Fed. Argent. Cardiol.
Revista de la Real Academia de Ciencias Exactas Fisicas y Naturales Serie A-Matematicas;Rev. Real Acad. Cienc. Exactas Fis. Nat. Ser. A-Mat.
REVISTA DE LA SOCIEDAD ENTOMOLOGICA ARGENTINA;Rev. Soc. Entomol. Argent.
REVISTA DE LA SOCIEDAD GEOLOGICA DE ESPANA;Rev. Soc. Geol. Esp.
Revista de la Union Matematica Argentina;Rev. Union Mat. Argent.
Revista de la Universidad del Zulia;Rev. Univ. Zulia
Revista de Letras;Rev. Let.
Revista de Letras Norte@mentos;Rev. Let. Norte@mentos
Revista de Linguistica y Lenguas Aplicadas;Rev. Linguist. Lenguas. Apl.
REVISTA DE LITERATURA;Rev. Lit.
Revista de Llengua i Dret-Journal of Language and Law;Rev. Lleng. Dret
Revista de Mediacion;Rev. Mediac.
REVISTA DE METALURGIA;Rev. Metal.
Revista de Musicologia;Rev. Musicol.
Revista de Nefrologia Dialisis y Trasplante;Rev. Nefrol. Dial. Traspl.
REVISTA DE NEUROLOGIA;Rev. Neurologia
Revista de Nutricao-Brazilian Journal of Nutrition;Rev. Nutr.
REVISTA DE OCCIDENTE;Rev. Occidente
Revista de Osteoporosis y Metabolismo Mineral;Rev. Osteoporos. Metab. Min.
Revista de Paz y Conflictos;Rev. Paz. Confl.
